Generation,max
146,4.695740632
147,4.695740632
148,4.695740632
149,4.695740632
150,4.695740632
151,4.695740632
152,4.695740632
153,4.695740632
154,4.695740632
155,4.695740632
156,4.695740632
157,4.695740632
158,4.695740632
159,4.695740632
160,4.695740632
161,4.695740632
162,4.695740632
163,4.695740632
164,4.695740632
165,4.695740632
166,4.695740632
167,4.695740632
168,4.695740632
169,4.695740632
170,4.695740632
171,4.695740632
172,4.695740632
173,4.695740632
174,4.695740632
175,4.695740632
176,4.695740632
177,4.695740632
178,4.695740632
179,4.695740632
180,4.695740632
181,4.695740632
182,4.695740632
183,4.695740632
184,4.695740632
185,4.695740632
186,4.695740632
187,4.695740632
188,4.695740632
189,4.695740632
190,4.695740632
191,4.695740632
192,4.695740632
193,4.695740632
194,4.695740632
195,4.695740632
196,4.695740632
197,4.695740632
198,4.695740632
199,4.695740632
200,4.695740632
201,4.695740632
202,4.695740632
203,4.695740632
204,4.695740632
205,4.695740632
206,4.695740632
207,4.695740632
208,4.695740632
209,4.695740632
210,4.695740632
211,4.695740632
212,4.695740632
213,4.695740632
214,4.695740632
215,4.695740632
216,4.695740632
217,4.695740632
218,4.695740632
219,4.695740632
220,4.695740632
221,4.695740632
222,4.695740632
223,4.695740632
224,4.695740632
225,4.695740632
226,4.695740632
227,4.695740632
228,4.695740632
229,4.695740632
230,4.696303476
231,4.696303476
232,4.696303476
233,4.696303476
234,4.696303476
235,4.696303476
236,4.696303476
237,4.696303476
238,4.696303476
239,4.696303476
240,4.696303476
241,4.696303476
242,4.696303476
243,4.696303476
244,4.696303476
245,4.696303476
246,4.696303476
247,4.696303476
248,4.696303476
249,4.696303476
250,4.696303476
251,4.696303476
252,4.696303476
253,4.696303476
254,4.696303476
255,4.696303476
256,4.696303476
257,4.698745058
258,4.698745058
259,4.698745058
260,4.698745058
261,4.698745058
262,4.698745058
263,4.698745058
264,4.698745058
265,4.698745058
266,4.698745058
267,4.698745058
268,4.698745058
269,4.698745058
270,4.698745058
271,4.698745058
272,4.698745058
273,4.698745058
274,4.698745058
275,4.698745058
276,4.698745058
277,4.698745058
278,4.698745058
279,4.698745058
280,4.698745058
281,4.698745058
282,4.698745058
283,4.698745058
284,4.698745058
285,4.698745058
286,4.698745058
287,4.698745058
288,4.698745058
289,4.698745058
290,4.698745058
291,4.698745058
292,4.698745058
293,4.698745058
294,4.698745058
295,4.698745058
296,4.698745058
297,4.698745058
298,4.698745058
299,4.698745058
300,4.698745058
301,4.698745058
302,4.698745058
303,4.698745058
304,4.698745058
305,4.698745058
306,4.698745058
307,4.698745058
308,4.698745058
309,4.698745058
310,4.698745058
311,4.698745058
312,4.698745058
313,4.698745058
314,4.698745058
315,4.698745058
316,4.698745058
317,4.698745058
318,4.698745058
319,4.698745058
320,4.698745058
321,4.698745058
322,4.698745058
323,4.698745058
324,4.698745058
325,4.698745058
326,4.698745058
